====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = He   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 9.341E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =5.00
 Total Target Vacancies     = 83 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  0000.00E+00  0000.00E+00  
400010.E-03  0000.00E+00  0000.00E+00  
600010.E-03  0000.00E+00  0000.00E+00  
800010.E-03  1000.00E-06  0000.00E+00  
100001.E-02  0000.00E+00  0000.00E+00  
120001.E-02  0000.00E+00  0000.00E+00  
140001.E-02  1000.00E-06  2258.45E-07  
160001.E-02  0000.00E+00  0000.00E+00  
180001.E-02  1000.00E-06  1316.74E-06  
200001.E-02  0000.00E+00  0000.00E+00  
220001.E-02  0000.00E+00  0000.00E+00  
240001.E-02  0000.00E+00  0000.00E+00  
260001.E-02  0000.00E+00  0000.00E+00  
280001.E-02  0000.00E+00  0000.00E+00  
300001.E-02  0000.00E+00  0000.00E+00  
320001.E-02  0000.00E+00  0000.00E+00  
340001.E-02  0000.00E+00  0000.00E+00  
360001.E-02  1000.00E-06  0000.00E+00  
380001.E-02  0000.00E+00  0000.00E+00  
400001.E-02  1000.00E-06  1597.60E-06  
420001.E-02  0000.00E+00  0000.00E+00  
440001.E-02  0000.00E+00  0000.00E+00  
460001.E-02  0000.00E+00  0000.00E+00  
480001.E-02  0000.00E+00  0000.00E+00  
500001.E-02  0000.00E+00  0000.00E+00  
520001.E-02  0000.00E+00  0000.00E+00  
540001.E-02  1000.00E-06  3738.69E-07  
560001.E-02  0000.00E+00  0000.00E+00  
580001.E-02  1000.00E-06  0000.00E+00  
600001.E-02  0000.00E+00  0000.00E+00  
620001.E-02  0000.00E+00  0000.00E+00  
640001.E-02  0000.00E+00  0000.00E+00  
660001.E-02  1000.00E-06  0000.00E+00  
680001.E-02  0000.00E+00  0000.00E+00  
700001.E-02  1000.00E-06  0000.00E+00  
720001.E-02  1000.00E-06  0000.00E+00  
740001.E-02  0000.00E+00  0000.00E+00  
760001.E-02  0000.00E+00  0000.00E+00  
780001.E-02  0000.00E+00  0000.00E+00  
800001.E-02  1000.00E-06  0000.00E+00  
820001.E-02  0000.00E+00  0000.00E+00  
840001.E-02  0000.00E+00  0000.00E+00  
860001.E-02  0000.00E+00  0000.00E+00  
880001.E-02  0000.00E+00  0000.00E+00  
900001.E-02  2000.00E-06  1331.94E-07  
920001.E-02  1000.00E-06  8631.89E-07  
940001.E-02  0000.00E+00  0000.00E+00  
960001.E-02  0000.00E+00  0000.00E+00  
980001.E-02  2000.00E-06  1192.29E-06  
100000.E-01  0000.00E+00  0000.00E+00  
102000.E-01  1000.00E-06  2261.12E-05  
104000.E-01  2000.00E-06  4141.42E-06  
106000.E-01  0000.00E+00  0000.00E+00  
108000.E-01  3000.00E-06  0000.00E+00  
110000.E-01  1000.00E-06  1225.77E-07  
112000.E-01  3000.00E-06  2507.95E-06  
114000.E-01  1000.00E-06  0000.00E+00  
116000.E-01  1000.00E-06  1600.31E-06  
118000.E-01  2000.00E-06  1240.36E-05  
120000.E-01  1000.00E-06  2563.18E-08  
122000.E-01  3000.00E-06  7216.35E-06  
124000.E-01  2000.00E-06  1202.42E-06  
126000.E-01  4000.00E-06  5370.14E-06  
128000.E-01  4000.00E-06  8551.56E-08  
130000.E-01  4000.00E-06  4748.92E-06  
132000.E-01  0000.00E+00  0000.00E+00  
134000.E-01  4000.00E-06  1256.71E-05  
136000.E-01  0000.00E+00  0000.00E+00  
138000.E-01  2000.00E-06  3198.63E-07  
140000.E-01  2000.00E-06  0000.00E+00  
142000.E-01  5000.00E-06  3872.84E-06  
144000.E-01  7000.00E-06  3448.57E-06  
146000.E-01  1200.00E-05  1320.79E-05  
148000.E-01  1000.00E-05  1679.66E-05  
150000.E-01  2000.00E-06  6650.09E-07  
152000.E-01  7000.00E-06  6203.03E-06  
154000.E-01  8000.00E-06  1435.00E-05  
156000.E-01  1200.00E-05  2868.36E-05  
158000.E-01  1400.00E-05  9735.15E-06  
160000.E-01  2000.00E-05  2574.01E-05  
162000.E-01  0000.00E+00  0000.00E+00  
164000.E-01  3000.00E-06  0000.00E+00  
166000.E-01  3000.00E-06  2309.67E-05  
168000.E-01  1100.00E-05  6299.55E-06  
170000.E-01  4000.00E-06  6555.14E-06  
172000.E-01  0000.00E+00  0000.00E+00  
174000.E-01  0000.00E+00  0000.00E+00  
176000.E-01  0000.00E+00  0000.00E+00  
178000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
182000.E-01  0000.00E+00  0000.00E+00  
184000.E-01  0000.00E+00  0000.00E+00  
186000.E-01  0000.00E+00  0000.00E+00  
188000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
192000.E-01  0000.00E+00  0000.00E+00  
194000.E-01  0000.00E+00  0000.00E+00  
196000.E-01  0000.00E+00  0000.00E+00  
198000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  0  eV/Vacancy
