====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 20000.E+00 A ;
  Layer # 1- Density = 9.341E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =000004.34
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================
---------------------------------------------------------------
-  NOTE: Because of the application of straggling to the ion  -
-  energy, Ionization is not accurate for less than 20 ions!  -
---------------------------------------------------------------

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200010.E-03  4576.74E-02  0000.00E+00
400010.E-03  4952.44E-02  1972.79E-07
600010.E-03  5482.32E-02  4629.48E-07
800010.E-03  5520.51E-02  0000.00E+00
100001.E-02  5638.39E-02  0000.00E+00
120001.E-02  5771.54E-02  8687.43E-07
140001.E-02  5890.46E-02  3000.58E-06
160001.E-02  5665.82E-02  0000.00E+00
180001.E-02  5643.88E-02  2754.26E-07
200001.E-02  5210.19E-02  5626.46E-07
220001.E-02  5195.33E-02  0000.00E+00
240001.E-02  4973.65E-02  1383.18E-07
260001.E-02  4939.11E-02  0000.00E+00
280001.E-02  5015.81E-02  1173.80E-07
300001.E-02  5056.85E-02  0000.00E+00
320001.E-02  5077.43E-02  4448.58E-07
340001.E-02  5017.63E-02  5041.95E-07
360001.E-02  5003.68E-02  5899.00E-06
380001.E-02  5104.87E-02  0000.00E+00
400001.E-02  5104.87E-02  0000.00E+00
420001.E-02  5193.33E-02  2014.29E-07
440001.E-02  5193.56E-02  0000.00E+00
460001.E-02  5285.34E-02  1191.37E-06
480001.E-02  5501.60E-02  2584.18E-07
500001.E-02  5539.65E-02  7650.32E-07
520001.E-02  5558.27E-02  0000.00E+00
540001.E-02  5464.61E-02  1132.98E-07
560001.E-02  5353.24E-02  0000.00E+00
580001.E-02  5385.80E-02  1118.32E-07
600001.E-02  5381.99E-02  4149.52E-07
620001.E-02  5314.69E-02  1058.11E-07
640001.E-02  5413.35E-02  0000.00E+00
660001.E-02  5413.93E-02  2244.73E-06
680001.E-02  5428.77E-02  0000.00E+00
700001.E-02  5428.77E-02  0000.00E+00
720001.E-02  5317.65E-02  3461.24E-06
740001.E-02  5215.18E-02  1553.85E-07
760001.E-02  5244.52E-02  9853.81E-07
780001.E-02  5260.41E-02  0000.00E+00
800001.E-02  5350.71E-02  1604.09E-07
820001.E-02  5386.34E-02  0000.00E+00
840001.E-02  5426.71E-02  2514.07E-06
860001.E-02  5622.38E-02  1871.55E-07
880001.E-02  5609.64E-02  2161.88E-07
900001.E-02  5522.01E-02  0000.00E+00
920001.E-02  5571.42E-02  1403.78E-07
940001.E-02  5621.56E-02  0000.00E+00
960001.E-02  5647.09E-02  3400.33E-06
980001.E-02  5804.45E-02  2364.48E-06
100000.E-01  5840.92E-02  5568.63E-05
102000.E-01  5991.45E-02  0000.00E+00
104000.E-01  5964.49E-02  1614.42E-07
106000.E-01  5921.65E-02  0000.00E+00
108000.E-01  5918.07E-02  1414.16E-06
110000.E-01  5650.75E-02  2056.06E-06
112000.E-01  5508.49E-02  1579.18E-07
114000.E-01  5329.73E-02  0000.00E+00
116000.E-01  5340.74E-02  3738.01E-07
118000.E-01  5357.63E-02  0000.00E+00
120000.E-01  5357.20E-02  4665.63E-07
122000.E-01  5491.25E-02  1440.28E-06
124000.E-01  5685.24E-02  2234.66E-07
126000.E-01  5797.80E-02  0000.00E+00
128000.E-01  5725.19E-02  9245.75E-07
130000.E-01  5656.40E-02  0000.00E+00
132000.E-01  5677.20E-02  2233.49E-06
134000.E-01  5688.00E-02  3439.14E-07
136000.E-01  5516.58E-02  1447.52E-07
138000.E-01  5404.81E-02  0000.00E+00
140000.E-01  5603.60E-02  3051.91E-06
142000.E-01  5671.93E-02  0000.00E+00
144000.E-01  5625.86E-02  1642.18E-06
146000.E-01  5644.10E-02  1286.87E-07
148000.E-01  5863.42E-02  1321.80E-06
150000.E-01  5938.75E-02  7358.02E-07
152000.E-01  5825.49E-02  0000.00E+00
154000.E-01  5825.49E-02  0000.00E+00
156000.E-01  5824.94E-02  1149.09E-04
158000.E-01  5668.95E-02  3064.15E-07
160000.E-01  5495.92E-02  0000.00E+00
162000.E-01  5440.28E-02  1893.03E-06
164000.E-01  5388.78E-02  0000.00E+00
166000.E-01  5388.78E-02  0000.00E+00
168000.E-01  5399.71E-02  1322.45E-06
170000.E-01  5498.91E-02  1299.92E-07
172000.E-01  5560.28E-02  1121.00E-07
174000.E-01  5573.28E-02  0000.00E+00
176000.E-01  5573.28E-02  0000.00E+00
178000.E-01  5585.34E-02  1396.25E-06
180000.E-01  5825.39E-02  2164.36E-07
182000.E-01  5704.04E-02  0000.00E+00
184000.E-01  5762.39E-02  1627.66E-06
186000.E-01  5784.40E-02  0000.00E+00
188000.E-01  5784.40E-02  0000.00E+00
190000.E-01  6078.58E-02  2450.96E-06
192000.E-01  6186.39E-02  2300.64E-07
194000.E-01  6459.05E-02  4241.00E-06
196000.E-01  6269.92E-02  3230.80E-07
198000.E-01  6370.67E-02  1401.28E-07
200000.E-01  6946.72E-02  9980.35E-07
