====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 9.341E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =4.33
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200010.E-03  816070.E-08  188191.E-11
400010.E-03  822257.E-08  322906.E-09
600010.E-03  954249.E-08  331082.E-10
800010.E-03  926982.E-08  387427.E-08
100001.E-02  889466.E-08  000000.E+00
120001.E-02  714567.E-08  336731.E-07
140001.E-02  802806.E-08  000000.E+00
160001.E-02  802806.E-08  000000.E+00
180001.E-02  801772.E-08  105762.E-07
200001.E-02  733396.E-08  186718.E-08
220001.E-02  269403.E-08  243147.E-07
240001.E-02  212717.E-08  000000.E+00
260001.E-02  212717.E-08  000000.E+00
280001.E-02  212717.E-08  000000.E+00
300001.E-02  212717.E-08  000000.E+00
320001.E-02  253675.E-08  913029.E-08
340001.E-02  400717.E-08  149357.E-08
360001.E-02  546812.E-08  372425.E-07
380001.E-02  552099.E-08  000000.E+00
400001.E-02  552099.E-08  000000.E+00
420001.E-02  552099.E-08  000000.E+00
440001.E-02  552099.E-08  000000.E+00
460001.E-02  470270.E-08  192358.E-07
480001.E-02  344422.E-08  121109.E-07
500001.E-02  281545.E-08  208354.E-08
520001.E-02  283324.E-08  000000.E+00
540001.E-02  283324.E-08  000000.E+00
560001.E-02  283324.E-08  000000.E+00
580001.E-02  273557.E-08  968303.E-08
600001.E-02  270375.E-08  411548.E-07
620001.E-02  358916.E-08  623851.E-07
640001.E-02  386910.E-08  000000.E+00
660001.E-02  386910.E-08  000000.E+00
680001.E-02  386910.E-08  000000.E+00
700001.E-02  386910.E-08  000000.E+00
720001.E-02  389878.E-08  106625.E-07
740001.E-02  352431.E-08  859687.E-08
760001.E-02  410380.E-08  357769.E-08
780001.E-02  411259.E-08  000000.E+00
800001.E-02  411259.E-08  000000.E+00
820001.E-02  411259.E-08  000000.E+00
840001.E-02  402104.E-08  106568.E-07
860001.E-02  367273.E-08  347026.E-08
880001.E-02  442080.E-08  967907.E-08
900001.E-02  427112.E-08  000000.E+00
920001.E-02  427112.E-08  000000.E+00
940001.E-02  427112.E-08  000000.E+00
960001.E-02  428430.E-08  136412.E-06
980001.E-02  409664.E-08  150469.E-07
100000.E-01  315332.E-08  922334.E-08
102000.E-01  344390.E-08  000000.E+00
104000.E-01  344390.E-08  000000.E+00
106000.E-01  344390.E-08  000000.E+00
108000.E-01  344390.E-08  000000.E+00
110000.E-01  484265.E-08  903518.E-08
112000.E-01  860459.E-08  493271.E-07
114000.E-01  888416.E-08  000000.E+00
116000.E-01  888416.E-08  000000.E+00
118000.E-01  888416.E-08  000000.E+00
120000.E-01  888416.E-08  000000.E+00
122000.E-01  894358.E-08  242902.E-07
124000.E-01  839982.E-08  241147.E-07
126000.E-01  793042.E-08  000000.E+00
128000.E-01  793042.E-08  000000.E+00
130000.E-01  793042.E-08  000000.E+00
132000.E-01  793042.E-08  000000.E+00
134000.E-01  892958.E-08  181124.E-07
136000.E-01  860655.E-08  243800.E-07
138000.E-01  939625.E-08  000000.E+00
140000.E-01  939625.E-08  000000.E+00
142000.E-01  939625.E-08  000000.E+00
144000.E-01  946310.E-08  322784.E-08
146000.E-01  999243.E-08  334811.E-07
148000.E-01  105752.E-07  127378.E-07
150000.E-01  101608.E-07  000000.E+00
152000.E-01  101608.E-07  000000.E+00
154000.E-01  101608.E-07  000000.E+00
156000.E-01  962310.E-08  215025.E-07
158000.E-01  588244.E-08  307610.E-07
160000.E-01  528901.E-08  000000.E+00
162000.E-01  528901.E-08  000000.E+00
164000.E-01  528901.E-08  000000.E+00
166000.E-01  528901.E-08  000000.E+00
168000.E-01  758470.E-08  163719.E-07
170000.E-01  768828.E-08  277023.E-06
172000.E-01  701437.E-08  000000.E+00
174000.E-01  701437.E-08  000000.E+00
176000.E-01  701437.E-08  000000.E+00
178000.E-01  616645.E-08  237736.E-07
180000.E-01  822454.E-08  111067.E-07
182000.E-01  122238.E-07  000000.E+00
184000.E-01  122238.E-07  000000.E+00
186000.E-01  122238.E-07  000000.E+00
188000.E-01  126249.E-07  482860.E-08
190000.E-01  152080.E-07  384667.E-07
192000.E-01  165538.E-07  217689.E-07
194000.E-01  100448.E-07  206456.E-09
196000.E-01  106537.E-07  123269.E-08
198000.E-01  980503.E-08  000000.E+00
200000.E-01  111151.E-07  991029.E-07
