====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = He   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 9.341E22 atoms/cm3 = 8.9 g/cm3
  Layer # 1- Ce = 33.3 Atomic Percent = 81.4 Mass Percent
  Layer # 1-  O = 66.6 Atomic Percent = 18.5 Mass Percent
====================================================================
 Total Ions calculated =5.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
200010.E-03  0000.00E+00  0000.00E+00
400010.E-03  0000.00E+00  0000.00E+00
600010.E-03  0000.00E+00  0000.00E+00
800010.E-03  2126.38E-06  2126.38E-06
100001.E-02  5027.74E-05  5027.74E-05
120001.E-02  5027.74E-05  5027.74E-05
140001.E-02  4563.37E-05  4763.37E-05
160001.E-02  0000.00E+00  0000.00E+00
180001.E-02  0000.00E+00  0000.00E+00
200001.E-02  4039.62E-04  4039.62E-04
220001.E-02  1157.51E-03  1157.51E-03
240001.E-02  1157.51E-03  1157.51E-03
260001.E-02  5206.57E-04  5226.57E-04
280001.E-02  1819.69E-05  1819.69E-05
300001.E-02  1819.69E-05  1819.69E-05
320001.E-02  3004.01E-05  3004.01E-05
340001.E-02  4014.36E-05  4014.36E-05
360001.E-02  6410.55E-05  6610.55E-05
380001.E-02  4612.34E-05  4612.34E-05
400001.E-02  7031.11E-05  7031.11E-05
420001.E-02  1671.39E-04  1671.39E-04
440001.E-02  1985.52E-04  1985.52E-04
460001.E-02  1026.27E-04  1026.27E-04
480001.E-02  2170.99E-05  2170.99E-05
500001.E-02  6083.25E-06  8083.25E-06
520001.E-02  2941.75E-05  2941.75E-05
540001.E-02  3948.12E-05  3948.12E-05
560001.E-02  3370.04E-05  3370.04E-05
580001.E-02  2674.68E-05  2674.68E-05
600001.E-02  6001.63E-05  6201.63E-05
620001.E-02  1172.40E-04  1172.40E-04
640001.E-02  8638.09E-05  8638.09E-05
660001.E-02  3046.23E-05  3046.23E-05
680001.E-02  2658.66E-05  2858.66E-05
700001.E-02  2274.14E-05  2274.14E-05
720001.E-02  1519.78E-05  1519.78E-05
740001.E-02  1338.19E-05  1338.19E-05
760001.E-02  4615.74E-05  4615.74E-05
780001.E-02  2515.07E-05  2515.07E-05
800001.E-02  6129.71E-05  6129.71E-05
820001.E-02  8177.61E-05  8377.61E-05
840001.E-02  8852.09E-06  8852.09E-06
860001.E-02  2881.90E-05  2881.90E-05
880001.E-02  7533.56E-05  7533.56E-05
900001.E-02  4775.91E-05  4775.91E-05
920001.E-02  6774.50E-05  6974.50E-05
940001.E-02  2700.98E-05  2700.98E-05
960001.E-02  6181.10E-06  6181.10E-06
980001.E-02  6214.96E-05  6214.96E-05
100000.E-01  7503.22E-05  7503.22E-05
102000.E-01  7587.65E-06  7587.65E-06
104000.E-01  8008.81E-05  8008.81E-05
106000.E-01  2822.65E-06  2822.65E-06
108000.E-01  6916.23E-05  6916.23E-05
110000.E-01  1623.67E-05  1823.67E-05
112000.E-01  1237.02E-04  1237.02E-04
114000.E-01  2789.73E-05  2989.73E-05
116000.E-01  9447.79E-06  9447.79E-06
118000.E-01  1590.85E-04  1610.85E-04
120000.E-01  1953.95E-04  1973.95E-04
122000.E-01  1091.92E-04  1091.92E-04
124000.E-01  3500.31E-04  3520.31E-04
126000.E-01  1997.22E-04  1997.22E-04
128000.E-01  6364.19E-05  6364.19E-05
130000.E-01  3316.14E-05  3316.14E-05
132000.E-01  2261.58E-04  2261.58E-04
134000.E-01  4400.69E-04  4440.69E-04
136000.E-01  1937.99E-04  1957.99E-04
138000.E-01  1494.43E-04  1494.43E-04
140000.E-01  4792.90E-04  4832.90E-04
142000.E-01  2949.26E-04  2969.26E-04
144000.E-01  4409.57E-04  4489.57E-04
146000.E-01  2847.21E-04  2887.21E-04
148000.E-01  4073.92E-04  4113.92E-04
150000.E-01  7200.88E-04  7240.88E-04
152000.E-01  1999.72E-03  2015.72E-03
154000.E-01  3089.36E-03  3093.36E-03
156000.E-01  1255.13E-03  1265.13E-03
158000.E-01  1444.38E-03  1456.38E-03
160000.E-01  1997.90E-03  2017.90E-03
162000.E-01  2200.65E-03  2214.65E-03
164000.E-01  4711.41E-04  4771.41E-04
166000.E-01  1236.44E-03  1248.44E-03
168000.E-01  0000.00E+00  0000.00E+00
170000.E-01  0000.00E+00  0000.00E+00
172000.E-01  0000.00E+00  0000.00E+00
174000.E-01  0000.00E+00  0000.00E+00
176000.E-01  0000.00E+00  0000.00E+00
178000.E-01  0000.00E+00  0000.00E+00
180000.E-01  0000.00E+00  0000.00E+00
182000.E-01  0000.00E+00  0000.00E+00
184000.E-01  0000.00E+00  0000.00E+00
186000.E-01  0000.00E+00  0000.00E+00
188000.E-01  0000.00E+00  0000.00E+00
190000.E-01  0000.00E+00  0000.00E+00
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
